Parameter,coniferous,mixed,mixed,shrub,wetland,wetland,wetland,water,impervious
ds,1,10,10,10,0.1,0.1,0.1,0,1
dsfs,1,10,10,10,0.1,0.1,0.1,0,1
rec,0.43,0.63,1.45,1.83,0.99,3.32,3.32,0.1,1.00E-11
ak,14,20,8,5,40,40,40,-1.00E-11,1.00E-11
akfs,2,3,1,1,30,30,30,-1.00E-11,1.00E-11
retn,120,70,30,40,300,200,121,139,1.00E-11
ak2,3.40E-02,5.35E-02,1.43E-03,2.99E-03,0.011,6.24E-03,0.158,9.07E-02,1.00E-11
ak2fs,2.40E-02,4.35E-02,1.00E-03,2.00E-03,5.00E-03,5.00E-03,6.89E-02,1.00E-03,1.00E-11
r3,84.8,84.8,84.8,84.8,8.98E-03,8.98E-03,8.98E-03,4,19.7
r3fs,10,10,10,10,0.1,0.1,0.1,4,10
r4,10,10,10,1,10,10,10,10,1
fpet,1,2.08,2.93,1,1,1.98,1.98,0.918,1
ftall,0.5,0.532,0.558,0.5,0.5,0.581,0.581,0,0.5
flint,1,1,1,1,1,1,1,1,1
fcap,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
ffcap,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
spore,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
fratio,0.9,0.9,0.9,0.6,0.9,1.4,1.2,1.5,1
fm,0.077,0.13,0.082,0.179,0.215,0.062,0.062,0.11,0.11
base,1,0,-1,-1,0,-1,-1,-2,-2
fmn,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
uadj,0,0,0,0,0,0,0,0,0
tipm,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
rho,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333
whcl,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035
alb,0.11,0.11,0.11,0.18,0.11,0.11,0.11,0.11,0.11
sublim_rate,0.1,0.1,0.1,0.2,0.1,0.3,0.3,0.4,0.3
idump,6,8,12,13,17,18,18,20,21
snocap,6000,6000,-600,-600,-600,-600,-600,-600,-600
nsdc,2,2,2,2,2,2,2,2,2
sdcsca,1,1,1,1,1,1,1,1,1
sdcd,50,50,50,50,50,50,50,100,100
,,,,,,,,,
ds,1,10,10,10,0.1,0.1,0.1,0,1
dsfs,1,10,10,10,0.1,0.1,0.1,0,1
rec,3.02,2.95,2.1,0.233,1.92,1.7,3.32,0.1,1.00E-11
ak,14,20,8,5,40,40,40,-1.00E-11,1.00E-11
akfs,2,3,1,1,30,30,30,-1.00E-11,1.00E-11
retn,127,126,49.9,12.6,366,291,121,139,1.00E-11
ak2,0.177,9.07E-02,0.115,0.179,3.39E-03,0.142,0.158,9.07E-02,1.00E-11
ak2fs,2.40E-02,4.35E-02,1.00E-03,2.00E-03,5.00E-03,5.00E-03,6.89E-02,1.00E-03,1.00E-11
r3,84.8,84.8,84.8,84.8,8.98E-03,8.98E-03,8.98E-03,4,19.7
r3fs,10,10,10,10,0.1,0.1,0.1,4,10
r4,10,10,10,1,10,10,10,10,1
fpet,1,2.08,2.93,1,1,1.98,1.98,0.918,1
ftall,0.5,0.532,0.558,0.5,0.5,0.581,0.581,0,0.5
flint,1,1,1,1,1,1,1,1,1
fcap,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
ffcap,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
spore,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
fratio,0.9,0.9,0.9,0.6,0.9,1.4,1.2,1.5,1
fm,0.086,0.064,0.058,0.101,0.241,0.215,0.185,0.051,0.185
base,1,0,-1,-1,0,-1,-1,-2,-2
fmn,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
uadj,0,0,0,0,0,0,0,0,0
tipm,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
rho,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333
whcl,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035
alb,0.11,0.11,0.11,0.18,0.11,0.11,0.11,0.11,0.11
sublim_rate,0.1,0.1,0.1,0.2,0.1,0.3,0.3,0.4,0.3
idump,6,8,12,13,17,18,18,20,21
snocap,6000,6000,-600,-600,-600,-600,-600,-600,-600
nsdc,2,2,2,2,2,2,2,2,2
sdcsca,1,1,1,1,1,1,1,1,1
sdcd,50,50,50,50,50,50,50,100,100
,,,,,,,,,
ds,1,10,10,10,0.1,0.1,0.1,0,1
dsfs,1,10,10,10,0.1,0.1,0.1,0,1
rec,2.95,3.98,1.73,7.59E-02,3.69,1.51,3.32,0.1,1.00E-11
ak,14,20,8,5,40,40,40,-1.00E-11,1.00E-11
akfs,2,3,1,1,30,30,30,-1.00E-11,1.00E-11
retn,113,116,49.8,10.7,377,335,121,139,1.00E-11
ak2,0.194,0.178,5.32E-02,0.182,0.134,0.14,0.158,9.07E-02,1.00E-11
ak2fs,2.40E-02,4.35E-02,1.00E-03,2.00E-03,5.00E-03,5.00E-03,6.89E-02,1.00E-03,1.00E-11
r3,84.8,84.8,84.8,84.8,8.98E-03,8.98E-03,8.98E-03,4,19.7
r3fs,10,10,10,10,0.1,0.1,0.1,4,10
r4,10,10,10,1,10,10,10,10,1
fpet,1,2.08,2.93,1,1,1.98,1.98,0.918,1
ftall,0.5,0.532,0.558,0.5,0.5,0.581,0.581,0,0.5
flint,1,1,1,1,1,1,1,1,1
fcap,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
ffcap,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
spore,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
fratio,0.9,0.9,0.9,0.6,0.9,1.4,1.2,1.5,1
fm,0.083,0.067,0.067,0.12,0.165,0.168,0.16,0.054,0.232
base,1,0,-1,-1,0,-1,-1,-2,-2
fmn,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
uadj,0,0,0,0,0,0,0,0,0
tipm,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
rho,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333
whcl,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035
alb,0.11,0.11,0.11,0.18,0.11,0.11,0.11,0.11,0.11
sublim_rate,0.1,0.1,0.1,0.2,0.1,0.3,0.3,0.4,0.3
idump,6,8,12,13,17,18,18,20,21
snocap,6000,6000,-600,-600,-600,-600,-600,-600,-600
nsdc,2,2,2,2,2,2,2,2,2
sdcsca,1,1,1,1,1,1,1,1,1
sdcd,50,50,50,50,50,50,50,100,100
,,,,,,,,,
ds,1,10,10,10,0.1,0.1,0.1,0,1
dsfs,1,10,10,10,0.1,0.1,0.1,0,1
rec,3.07,3.4,3.64,0.262,3.54,0.352,3.32,0.1,1.00E-11
ak,14,20,8,5,40,40,40,-1.00E-11,1.00E-11
akfs,2,3,1,1,30,30,30,-1.00E-11,1.00E-11
retn,115,101,49.7,10.2,383,366,121,139,1.00E-11
ak2,0.18,0.172,0.173,0.176,0.195,3.87E-02,0.158,9.07E-02,1.00E-11
ak2fs,2.40E-02,4.35E-02,1.00E-03,2.00E-03,5.00E-03,5.00E-03,6.89E-02,1.00E-03,1.00E-11
r3,84.8,84.8,84.8,84.8,8.98E-03,8.98E-03,8.98E-03,4,19.7
r3fs,10,10,10,10,0.1,0.1,0.1,4,10
r4,10,10,10,1,10,10,10,10,1
fpet,1,2.08,2.93,1,1,1.98,1.98,0.918,1
ftall,0.5,0.532,0.558,0.5,0.5,0.581,0.581,0,0.5
flint,1,1,1,1,1,1,1,1,1
fcap,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
ffcap,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
spore,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
fratio,0.9,0.9,0.9,0.6,0.9,1.4,1.2,1.5,1
fm,0.083,0.071,0.054,0.126,0.158,0.145,0.204,0.051,0.119
base,1,0,-1,-1,0,-1,-1,-2,-2
fmn,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
uadj,0,0,0,0,0,0,0,0,0
tipm,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
rho,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333
whcl,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035
alb,0.11,0.11,0.11,0.18,0.11,0.11,0.11,0.11,0.11
sublim_rate,0.1,0.1,0.1,0.2,0.1,0.3,0.3,0.4,0.3
idump,6,8,12,13,17,18,18,20,21
snocap,6000,6000,-600,-600,-600,-600,-600,-600,-600
nsdc,2,2,2,2,2,2,2,2,2
sdcsca,1,1,1,1,1,1,1,1,1
sdcd,50,50,50,50,50,50,50,100,100
